sample_id,init_n_TM,init_r_TM,init_q_TM,init_p_TM,init_I_TM,init_S_TM,init_monovalent,init_divalent,init_trivalent,initial_na,phase_change,init_state_O_-2,init_state_Na_1,init_state_O_-1,final_charge,final_n_TM,final_r_TM,final_q_TM,final_p_TM,final_I_TM,final_S_TM,final_na,final_state_O_-2,final_state_Na_1,final_state_O_-1
66,1.0,56.07222222222222,3.33,0.06028338319110385,62.295088888888884,1.4275317607973357,0.0,0.05555555555555555,0.0,0.67,0,2.0,0.67,0.0,-5.551115123125783e-17,1.0,54.19555555555555,3.67,0.068711731722738,69.49955555555555,1.0818965429543166,0.33,2.0,0.33,0.0
68,1.0,58.50000000000001,3.4,0.05867624933590245,56.173434,1.6094379124341003,0.0,0.0,0.0,0.6,1,2.0,0.6,0.0,-1.6653345369377348e-16,1.0,55.300000000000004,4.0,0.07298171221426906,77.2538,1.6094379124341003,0.0,2.0,0.0,0.0
69,1.0,53.025,3.25,0.061881887946454335,57.5707,0.6540663924369862,0.0,0.0,0.0,0.75,1,2.0,0.75,0.0,8.326672684688674e-17,1.0,51.945,3.97,0.07658848306502798,77.8963,0.6540663924369858,0.03,2.0,0.03,0.0
70,1.0,58.016666666666666,3.33,0.06006475506981377,70.74940000000001,0.9801545384896727,0.0,0.25,0.0,0.67,1,2.0,0.67,0.0,2.220446049250313e-16,1.0,57.75,3.5,0.06354821802935011,75.52506666666667,0.9596147939120492,0.125,1.625,0.125,0.3749999999999999
74,1.0,58.067,3.4,0.05852908705090112,56.83136,1.317040262676342,0.0,0.0,0.0,0.6,1,2.0,0.6,0.0,-2.7755575615628914e-17,1.0,55.518,3.83,0.06954044575833986,65.93938,1.2966288465625047,0.17,2.0,0.17,0.0
76,1.0,63.7,3.0,0.04717874044412086,46.802868,0.6730116670092565,0.0,0.0,0.0,1.0,0,2.0,1.0,0.0,-2.220446049250313e-16,1.0,59.379999999999995,3.67,0.0635987594495057,60.46511099999999,0.8891499797260202,0.33,2.0,0.33,0.0
77,1.0,53.7111111111111,3.3,0.06173593194321947,58.01755555555556,0.9165593690658496,0.0,0.0,0.0,0.7,0,2.0,0.7,0.0,-1.1102230246251565e-16,1.0,53.029444444444444,3.61,0.0683791407817719,66.53252222222223,1.3011033993635912,0.39,2.0,0.39,0.0
79,1.0,58.68333333333333,3.33,0.05786059016193315,56.79505666666666,1.1172794667863921,0.0,0.0,0.0,0.67,0,2.0,0.67,0.0,-8.326672684688674e-17,1.0,55.26333333333333,3.78,0.07027886969849541,70.26266406666667,1.3122907812951614,0.22,2.0,0.22,0.0
80,1.0,55.900000000000006,3.3,0.05941266930857041,58.30999999999999,1.0296530140645732,0.0,0.0,0.0,0.7,0,2.0,0.7,0.0,2.7755575615628914e-16,1.0,54.50000000000001,3.58,0.06606198615957887,64.246,0.9709374454215407,0.42,2.0,0.42,0.0
84,1.0,54.6,3.3,0.06064127935717413,59.06199999999999,1.279854225833668,0.0,0.0,0.0,0.7,1,2.0,0.7,0.0,2.498001805406602e-16,1.0,53.800000000000004,3.6000000000000005,0.06710120068610635,66.828,1.0549201679861442,0.1,1.7000000000000002,0.1,0.2999999999999997
85,1.0,56.7,3.1999999999999997,0.057077086439018335,55.31543399999999,0.950270539233234,0.0,0.0,0.0,0.8,0,2.0,0.8,0.0,0.0,1.0,56.055,3.63,0.06586019185705538,67.45433399999999,0.9142025851610712,0.37,2.0,0.37,0.0
86,0.9,57.19777777777778,3.3,0.057908653370471526,55.56224,1.273100045073343,0.0,0.0,0.0,0.7,1,2.0,0.7,0.0,5.551115123125783e-17,0.9,54.85777777777778,3.6,0.06624781903022925,61.91012,1.0503899983870766,0.22,1.82,0.22,0.1799999999999999
88,0.8333333333333334,53.019999999999996,3.33,0.06281392322706571,60.271,0.17366615814779396,0.0,0.0,0.0,0.67,0,2.0,0.67,0.0,1.942890293094024e-16,0.8333333333333334,53.0,3.3333333333333335,0.06289308176100629,60.34166666666667,0.15193463066162882,0.15,1.4833333333333334,0.15,0.5166666666666665
89,1.05,61.71957671957672,3.38,0.06030468692977061,71.61360555555555,1.3041515762619063,0.05,0.2222222222222222,0.0,0.62,1,2.0,0.62,0.0,-2.7755575615628914e-17,1.05,61.17460317460317,3.4944444444444445,0.06302246326173042,74.03982777777777,0.9984721714041167,0.05,1.5444444444444443,0.05,0.4555555555555557
90,1.0,59.169999999999995,3.33,0.05982883086758507,58.966464,0.8776745513635571,0.06,0.0,0.0,0.67,1,2.0,0.67,0.0,-1.1102230246251565e-16,1.0,56.72,3.82,0.07146513535684987,69.354464,0.22696752250060448,0.0,1.8199999999999998,0.0,0.18000000000000022
91,1.0,60.255,3.33,0.05665151824398864,56.584485,1.0136649195005232,0.0,0.0,0.0,0.67,0,2.0,0.67,0.0,-5.551115123125783e-17,1.0,58.7,3.7,0.06439182537336706,72.589951,1.0296530140645737,0.3,2.0,0.3,0.0
93,1.0,55.09,3.33,0.060745979896498,58.9995,1.369210719759898,0.0,0.0,0.0,0.67,1,2.0,0.67,0.0,0.0,1.0,51.95,4.0,0.07712264150943396,74.87809999999999,0.9990543029048066,0.0,2.0,0.0,0.0
94,1.0,56.32,3.33,0.059989795325348726,59.597925,1.571136442519368,0.0,0.03,0.0,0.67,1,2.0,0.67,0.0,2.7755575615628914e-17,1.0,53.42,3.94,0.07452037527938042,77.689508,1.345955351927183,0.05,1.99,0.05,0.009999999999999995
95,1.0,56.290000000000006,3.33,0.06002094277688544,62.41962099999999,1.7442877273255706,0.0,0.03,0.04,0.67,0,2.0,0.67,0.0,1.3877787807814457e-16,1.0,53.480000000000004,3.88,0.07332597313770267,78.817404,1.5191066367333856,0.05,1.93,0.05,0.06999999999999999
96,1.0,55.516666666666666,3.33,0.060341940253293536,59.647666666666666,1.286024002985468,0.0,0.0,0.0,0.67,1,2.0,0.67,0.0,0.0,1.0,51.96666666666666,3.9,0.07528139662573624,71.71766666666666,0.8851917231997408,0.1,2.0,0.1,0.0
